FID Results Log
/root/paddlejob/workspace/env_run/output/gxl/pcm_eval_results_flux_coco1k/date202506102048_step4_shift3__num100_gs3.5_seed42_h1024_w1024_bs1_sched-deterministic_cp-latest_ls-0.25_promptver-v1/ : 46.19199117363826
/root/paddlejob/workspace/env_run/output/gxl/pcm_eval_results_flux_coco1k/date202506111424_step4_shift3__num100_gs3.5_seed42_h1024_w1024_bs1_sched-deterministic_cp-latest_ls-0.25_promptver-v1/ : 47.59954377555596
/root/paddlejob/workspace/env_run/output/gxl/pcm_eval_results_flux_coco1k/date202506172108_step4_shift3__num100_gs3.5_seed42_h1024_w1024_bs1_sched-deterministic_cp-latest_ls-0.25_promptver-v1/ : 46.69976055315851
/root/paddlejob/workspace/env_run/output/gxl/pcm_eval_results_flux_coco1k/date202506181652_step4_shift3__num100_gs3.5_seed42_h1024_w1024_bs1_sched-deterministic_cp-latest_ls-0.25_promptver-v1/ : 48.21931536779147
/root/paddlejob/workspace/env_run/output/gxl/pcm_eval_results_flux_coco1k/date202506192039_step4_shift3__num100_gs3.5_seed42_h1024_w1024_bs1_sched-deterministic_cp-latest_ls-0.25_promptver-v1/ : 42.99681128838125
/root/paddlejob/workspace/env_run/output/gxl/pcm_eval_results_flux_coco1k/date202506201725_step4_shift3__num100_gs3.5_seed42_h1024_w1024_bs1_sched-deterministic_cp-latest_ls-0.25_promptver-v1/ : 43.29969878488839
/root/paddlejob/workspace/env_run/output/gxl/pcm_eval_results_flux_coco1k/date202506210928_step4_shift3__num100_gs3.5_seed42_h1024_w1024_bs1_sched-deterministic_cp-latest_ls-0.25_promptver-v1/ : 45.25956334081923
/root/paddlejob/workspace/env_run/output/gxl/pcm_eval_results_flux_coco1k/date202506221613_step4_shift3__num100_gs3.5_seed42_h1024_w1024_bs1_sched-deterministic_cp-latest_ls-0.25_promptver-v1/ : 48.202496540883715
/root/paddlejob/workspace/env_run/output/gxl/pcm_eval_results_flux_coco1k/date202506221639_step4_shift3__num100_gs3.5_seed42_h1024_w1024_bs1_sched-deterministic_cp-latest_ls-0.25_promptver-v1/ : 46.32320594006933
/root/paddlejob/workspace/env_run/output/gxl/pcm_eval_results_flux_coco1k/date202506232205_step4_shift3__num100_gs2.0_seed42_h1024_w1024_bs1_sched-deterministic_cp-latest_ls-0.25_promptver-v1/ : 60.8416743197389
/root/paddlejob/workspace/env_run/output/gxl/pcm_eval_results_flux_coco1k/date202506232205_step4_shift3__num100_gs2.5_seed42_h1024_w1024_bs1_sched-deterministic_cp-latest_ls-0.25_promptver-v1/ : 53.5607983757439
/root/paddlejob/workspace/env_run/output/gxl/pcm_eval_results_flux_coco1k/date202506232205_step4_shift3__num100_gs3.0_seed42_h1024_w1024_bs1_sched-deterministic_cp-latest_ls-0.25_promptver-v1/ : 50.51027814286067
/root/paddlejob/workspace/env_run/output/gxl/pcm_eval_results_flux_coco1k/date202506302334_step4_shift3__num100_gs3.5_seed42_h1024_w1024_bs1_sched-deterministic_cp-latest_ls-0.25_promptver-v1/ : 46.83355272288844
/root/paddlejob/workspace/env_run/output/gxl/pcm_eval_results_flux_coco1k/date202507021046_step4_shift3__num100_gs3.0_seed42_h1024_w1024_bs1_sched-deterministic_cp-latest_ls-0.25_promptver-v1/ : 49.13264566836807
/root/paddlejob/workspace/env_run/output/gxl/pcm_eval_results_flux_coco1k/flux-dev_coco1k/ : 2.888801270728436
/root/paddlejob/workspace/env_run/output/gxl/pcm_eval_results_flux_coco1k/flux_schnell_1k/ : 47.397309216558256
/root/paddlejob/workspace/env_run/output/gxl/pcm_eval_results_flux_coco1k/HyperFLUX_coco1k/ : 39.88278490531138
/root/paddlejob/workspace/env_run/output/gxl/pcm_eval_results_flux_coco1k/sana_coco1k/ : 61.076131294018296
/root/paddlejob/workspace/env_run/output/gxl/pcm_eval_results_flux_coco1k/sanasprint_coco1k/ : 49.51867938056046
/root/paddlejob/workspace/env_run/output/gxl/pcm_eval_results_flux_coco1k/sanasprint_coco1k_step4/ : 50.673283236662144
/root/paddlejob/workspace/env_run/output/gxl/pcm_eval_results_flux_coco1k/swd_3.5/ : 43.4839855571135
/root/paddlejob/workspace/env_run/output/gxl/pcm_eval_results_flux_coco1k/swd_bf16/ : 43.17556956449698
/root/paddlejob/workspace/env_run/output/gxl/pcm_eval_results_flux_coco1k/TDD_3.5/ : 42.521727738287325
/root/paddlejob/workspace/env_run/output/gxl/pcm_eval_results_flux_coco1k/TDD_bf16/ : 49.96079113947519
/root/paddlejob/workspace/env_run/output/gxl/pcm_eval_results_flux_coco1k/date202507041009_step4_shift3__num100_gs3.5_seed42_h1024_w1024_bs1_sched-deterministic_cp-latest_ls-0.25_promptver-v1/ : 47.19684348293583
/root/paddlejob/workspace/env_run/output/gxl/pcm_eval_results_flux_coco1k/date202507041033_step4_shift3__num100_gs3.5_seed42_h1024_w1024_bs1_sched-deterministic_cp-latest_ls-0.25_promptver-v1/ : 45.91381907795136
/root/paddlejob/workspace/env_run/output/gxl/pcm_eval_results_flux_coco1k/date202507052223_step4_shift3__num100_gs3.5_seed42_h1024_w1024_bs1_sched-deterministic_cp-latest_ls-0.25_promptver-v1/ : 46.0665516642502
/root/paddlejob/workspace/env_run/output/gxl/pcm_eval_results_flux_coco1k/date202507112228_step4_shift3__num100_gs3.5_seed42_h1024_w1024_bs1_sched-deterministic_cp-12000_ls-0.25_promptver-v1/ : 43.67730152233867
/root/paddlejob/workspace/env_run/output/gxl/pcm_eval_results_flux_coco1k/date202507112228_step4_shift3__num100_gs3.5_seed42_h1024_w1024_bs1_sched-deterministic_cp-15000_ls-0.25_promptver-v1/ : 44.12508667062116
/root/paddlejob/workspace/env_run/output/gxl/pcm_eval_results_flux_coco1k/date202507112228_step4_shift3__num100_gs3.5_seed42_h1024_w1024_bs1_sched-deterministic_cp-3000_ls-0.25_promptver-v1/ : 53.11410173853818
/root/paddlejob/workspace/env_run/output/gxl/pcm_eval_results_flux_coco1k/date202507112228_step4_shift3__num100_gs3.5_seed42_h1024_w1024_bs1_sched-deterministic_cp-6000_ls-0.25_promptver-v1/ : 45.648133668201126
/root/paddlejob/workspace/env_run/output/gxl/pcm_eval_results_flux_coco1k/date202507112228_step4_shift3__num100_gs3.5_seed42_h1024_w1024_bs1_sched-deterministic_cp-9000_ls-0.25_promptver-v1/ : 44.123379065898234
/root/paddlejob/workspace/env_run/output/gxl/pcm_eval_results_flux_coco1k/date202507112228_step4_shift3__num100_gs3.5_seed42_h1024_w1024_bs1_sched-deterministic_cp-latest_ls-0.25_promptver-v1/ : 42.86377469137875
/root/paddlejob/workspace/env_run/output/gxl/pcm_eval_results_flux_coco1k/date202507122210_step4_shift3__num100_gs3.5_seed42_h1024_w1024_bs1_sched-deterministic_cp-latest_ls-0.25_promptver-v1/ : 46.03111496105589
/root/paddlejob/workspace/env_run/output/gxl/pcm_eval_results_flux_coco1k/date202507131343_step4_shift3__num100_gs3.5_seed42_h1024_w1024_bs1_sched-deterministic_cp-latest_ls-0.25_promptver-v1/ : 46.268136018795985
